4,5,0,4,1,3
3
",인,천,광,역,시, ,남,동,구, ,논,현,동, ,6,7,8,-,2, ,제,일,타,워
1,층,1,0,3,호,"
콜,다,방
다,방
1,7,6,5,9,8,.,0,8,4,1
40865,1,서울특별시 서초구 반포동 19-3번지 센트럴시티 106호,STARBUCKS COFFEE(스타벅스커피 센트럴시티점),커피숍,200250.4478,444683.2205
40879,1,서울특별시 서초구 서초동 1303-16번지 B102~B105호,스타벅스커피 강남에비뉴,커피숍,202044.6291,444504.1128
40885,1,서울특별시 중구 서소문동 75번지 지하1층,스타벅스 서소문로점,커피숍,197693,451195
40888,1,서울특별시 성동구 하왕십리동 1070-3번지,스타벅스 상왕십리역점,커피숍,202407.0875,451424.1977
40890,1,서울특별시 중구 회현동2가 88번지 스테이트 남산 지하1층 B107호,스타벅스 남산스테이트,커피숍,198420.987,450877.8749
40938,1,서울특별시 서대문구 충정로3가 470번지,스타벅스 충정로역점,커피숍,196662.3352,450999.9
40959,1,서울특별시 중구 순화동 1-170번지 에이스타워 1층,스타벅스 순화동에이스점,커피숍,197214.2058,451259.6719
41067,1,서울특별시 중구 을지로1가 50번지 삼성화재 삼성빌딩 1층,스타벅스 시청 플러스,커피숍,198160.4203,451559.1843
41068,1,서울특별시 중구 을지로1가 50번지 삼성화재 삼성빌딩 1층,스타벅스 서울시청점,커피숍,198160.4203,451559.1843
41170,1,서울특별시 용산구 동자동 45번지 KDB생명타워 지하1층 117호,스타벅스커피 서울역동자동점,커피숍,197563.0698,449934.1578
41182,1,서울특별시 중구 충무로1가 21-1번지 1층.2층,스타벅스 서울중앙우체국점,커피숍,198346.5368,451039.715
41373,1,서울특별시 중구 명동2가 2-8번지 3층,스타벅스 명동중앙로,커피숍,198671.6278,451253.6425
41419,1,서울특별시 성북구 동선동1가 92-1번지,스타벅스 성신여대점,커피숍,201557.0137,454536.0132
41446,1,서울특별시 용산구 한남동 36-7번지,스타벅스한남동R점,커피숍,200896.2084,448060.5027
41570,1,서울특별시 중구 다동 111번지 1층,스타벅스 을지로국제빌딩점,커피숍,198365.141,451631.1876
41701,1,서울특별시 중구 을지로2가 88-5번지 1층,스타벅스 을지로2가점,커피숍,198869,451583
41749,1,서울특별시 중구 흥인동 132번지,스타벅스 신당역점,커피숍,201198.0189,451459.4911
41819,1,서울특별시 은평구 진관동 65번지 101동 105호~108호,스타벅스 구파발사거리,커피숍,192976.6252,460038.6713
