'번호','영업상태구분코드','소재지전체주소','사업장명','업태구분명','좌표정보(x)','좌표정보(y)'
'13054','1','서울특별시 마포구 합정동 369-5번지','더그레너리','커피숍','192304.8537','449320.3994'
'13056','1','서울특별시 마포구 서교동 395-17번지','브이엑스메이트카페','커피숍','192878.7278','449832.7663'
'13060','1','서울특별시 마포구 서교동 345-2번지','코칭','커피숍','193166.9905','450312.2683'
'13063','1','서울특별시 마포구 성산동 275-3번지 마포중앙도서관 1층 2호','매머드커피 마포중앙도서관점(129호)','커피숍','191843.8295','451282.5582'
'13065','1','서울특별시 마포구 상암동 1601번지 케이지아이티센터 140호','오후를부탁해','커피숍','190125.5648','453090.1498'
'13067','1','서울특별시 마포구 도화동 181-1번지','메가커피 공덕점','커피숍','195601.8667','448873.9873'
'13069','1','서울특별시 마포구 동교동 163-20번지 3층일부','X·D팩토리','커피숍','193070.7481','450280.8967'
'13070','1','서울특별시 마포구 노고산동 57-26번지 신촌센트럴코업레지던스','커피더캠프신촌로터리점','커피숍','194237.3457','450263.5077'
'13077','1','서울특별시 마포구 서교동 391-18번지 1층','야미 요밀','커피숍','192437.5773','449930.212'
'13078','1','서울특별시 마포구 서교동 334-17번지','돌담커피','커피숍','193467.4827','450272.7916'
'13079','1','서울특별시 마포구 신수동 1-1번지 서강대학교','카페리시오','커피숍','194564.2772','449886.7004'
'13080','1','서울특별시 마포구 연남동 564-13번지','커피구름','커피숍','192773.1346','450787.8576'
'13082','1','서울특별시 마포구 상암동 31-6번지 세움테크사옥','옥스PC방(OX PC방)','커피숍','190707.0261','452612.0423'
'13084','1','서울특별시 마포구 망원동 423-16번지','쥬씨 망원시장점','커피숍','191577.1306','450597.9663'
'13086','1','서울특별시 마포구 연남동 515-22번지','오피스오브(OFFICE OF)','커피숍','193054.9222','451039.4892'
'13089','1','서울특별시 마포구 합정동 373-22번지','테르프로미즈','커피숍','192316.9089','449578.6127'
'13095','1','서울특별시 마포구 대흥동 241-8번지','베이커리누아네','커피숍','194947.132','449404.1462'
'13096','1','서울특별시 마포구 성산동 370번지 마포구보건소 1층','북카페산책','커피숍','191267.1952','451555.668'
'13098','1','서울특별시 마포구 염리동 154-8번지','아마스빈 대흥역점','커피숍','195116.029','449367.5939'
'13099','1','서울특별시 마포구 염리동 178-61번지 1층','희망분식','커피숍','194979.8154','449454.459'
